"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","朝霧山手町","明石","",27000000,"",140,"","","",120,"1985年","木造","","","西","",7,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","上ノ丸","明石",15,43000000,"",130,"","","",115,"2001年","木造","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",15,3200000,"",80,"","","",65,"1976年","木造","","","","",4,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",25,13000000,"",120,"","","",140,"1995年","木造","","","南東","公道",6.2,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",25,15000000,"",130,"","","",90,"1996年","木造","","","西","公道",5.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",25,13000000,"",130,"","","",90,"1996年","木造","","","南","公道",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",20,29000000,"",125,"","","",95,"2005年","木造","","","西","公道",5.6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",20,33000000,"",135,"","","",105,"2018年","木造","","","","",6,"１中住専",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",5,33000000,"",95,"","","",105,"2024年","木造","","","北東","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",25,18000000,"",130,"","","",105,"2003年","木造","","","西","公道",5.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","東二見",10,32000000,"",130,"","","",95,"2025年","木造","","","北","公道",6.2,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","土山",15,4500000,"",80,"","","",75,"1977年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","王子","西新町",15,38000000,"",75,"","","",125,"2024年","木造","","","北東","公道",4.1,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","王子","西新町",15,38000000,"",75,"","","",130,"2024年","木造","","","北東","公道",4.1,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町山手台","大久保(兵庫)","",31000000,"",145,"","","",100,"2024年","木造","","","東","公道",5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町山手台","大久保(兵庫)","",32000000,"",120,"","","",100,"2024年","木造","","","","公道",5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","太寺","明石",20,66000000,"",215,"","","",175,"1995年","木造","","","南東","公道",6.4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","二見町","土山",20,11000000,"",110,"","","",100,"1994年","木造","","","","",4.9,"１種住居",60,196,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","二見町","東二見",10,31000000,"",115,"","","",100,"","木造","","","北東","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","二見町","東二見",5,39000000,"",140,"","","",115,"2018年","軽量鉄骨造","","","西","公道",8.7,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","二見町","東二見",5,32000000,"",100,"","","",85,"2024年","木造","","","南東","公道",3.5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","二見町","土山",20,33000000,"",140,"","","",105,"2020年","木造","","","北西","私道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","朝霧町","大蔵谷",10,39000000,"",90,"","","",85,"2023年","木造","","","北","公道",5,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","朝霧町","朝霧",10,34000000,"",85,"","","",80,"2021年","木造","","","","公道","","１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大道町","西新町",15,35000000,"",85,"","","",95,"2024年","木造","","","南西","公道",4.9,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","荷山町","明石","",38000000,"",105,"","","",105,"2017年","木造","","","北","公道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","人丸町","人丸前",10,20000000,"",80,"","","",95,"1996年","軽量鉄骨造","","","北東","公道",4.3,"１中住専",60,172,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","藤が丘","藤江",10,40000000,"",125,"","","",100,"2024年","木造","","","南","公道","","１低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","明南町","西明石",25,41000000,"",140,"","","",120,"2018年","木造","","","西","公道",5.7,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","西明石東町","西明石",15,45000000,"",115,"","","",100,"2024年","木造","","","南東","公道",6,"１低住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","硯町","明石",25,44000000,"",85,"","","",120,"2024年","","","","東","公道",11,"近隣商業",80,300,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","硯町","西新町",5,13000000,"",65,"","","",70,"1987年","木造","","","","公道","","工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","西明石町","西明石",20,35000000,"",110,"","","",100,"2019年","木造","","","","","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","港町","明石",15,57000000,"",225,"","","",185,"2015年","軽量鉄骨造","","","","",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町福田","大久保(兵庫)",15,39000000,"",140,"","","",95,"2011年","木造","","","西","",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","大久保(兵庫)",10,22000000,"",70,"","","",70,"2008年","木造","","","","",5,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","江井ケ島",15,58000000,"",495,"","","",270,"1998年","軽量鉄骨造","","","北西","公道",4,"工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","大久保(兵庫)",15,45000000,"",125,"","","",105,"","木造","","","南西","公道",6,"工業","","","2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","","",5000000,"",285,"","","",195,"1969年","木造","","","","私道",1.8,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","大久保(兵庫)",25,16000000,"",100,"","","",85,"2001年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","大久保(兵庫)",25,17000000,"",115,"","","",100,"1997年","木造","","","南西","公道",6.4,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","大久保(兵庫)",20,17000000,"",145,"","","",95,"1996年","木造","","","北西","公道",5.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","大久保(兵庫)",25,29000000,"",165,"","","",120,"2010年","木造","","","南西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","大久保(兵庫)","",16000000,"",155,"","","",130,"1993年","軽量鉄骨造","","","南","私道",4,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","西明石",20,28000000,"",75,"","","",95,"2013年","木造","","","","","","１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","中八木",10,36000000,"",175,"","","",110,"2013年","木造","","","北西","公道",6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","大久保(兵庫)",20,24000000,"",130,"","","",100,"2009年","木造","","","南東","公道",6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","江井ケ島",15,6000000,"",120,"","","",95,"1978年","軽量鉄骨造","","","","",3.6,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町","中八木",10,31000000,"",75,"","","",115,"2024年","木造","","","西","私道",4.6,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大蔵谷奥","朝霧",20,26000000,"",85,"","","",80,"2003年","木造","","","北東","公道",5.9,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","太寺天王町","明石","",46000000,"",105,"","","",100,"2024年","木造","","","","公道","","１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","鳥羽","西明石",20,3800000,"",120,"","","",70,"1983年","木造","","","北西","",3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","東野町","大蔵谷",5,42000000,"",245,"","","",185,"2012年","木造","","","北西","公道",5.5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","藤江","西明石",20,12000000,"",75,"","","",80,"1998年","木造","","","南西","公道",10.5,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","別所町","西明石",10,46000000,"",110,"","","",135,"2020年","木造","","","南東","私道",4,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","別所町","西明石",10,1500000,"",60,"","","",50,"1967年","木造","","","","",2.9,"１種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","朝霧東町","朝霧",15,11000000,"",180,"","","",160,"1997年","木造","","","","",3.4,"１低住専",60,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",15,18000000,"",70,"","","",100,"2010年","木造","","","南東","公道",9.5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",15,28000000,"",105,"","","",105,"2024年","木造","","","","公道",6.5,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住","",30000000,"",115,"","","",100,"2024年","木造","","","南","私道",6.5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","東二見",15,23000000,"",90,"","","",85,"2024年","木造","","","西","公道",3.5,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",15,28000000,"",80,"","","",110,"2024年","木造","","","","公道",4.2,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",25,19000000,"",235,"","","",100,"2010年","木造","","","北西","私道",5,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",10,24000000,"",70,"","","",105,"2024年","木造","","","","","","１中住専",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","大久保(兵庫)",25,42000000,"",675,"","","",235,"1993年","木造","","","","公道",4,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","土山","",23000000,"",105,"","","",100,"2024年","木造","","","北","公道",4.7,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",10,13000000,"",65,"","","",95,"1997年","木造","","","南西","公道",4.1,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",15,18000000,"",145,"","","",120,"1994年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",10,32000000,"",85,"","","",95,"2024年","木造","","","南東","私道",4,"近隣商業",80,240,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","西江井ケ島",10,17000000,"",210,"","","",95,"2010年","木造","","","","",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",10,24000000,"",125,"","","",105,"2008年","木造","","","南東","公道",6,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",20,11000000,"",160,"","","",105,"1977年","木造","","","北","公道",6,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",20,33000000,"",135,"","","",105,"2018年","木造","","","","",6,"１中住専",70,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",10,22000000,"",70,"","","",85,"2015年","木造","","","北東","公道",4.6,"１中住専",70,188,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",10,12000000,"",125,"","","",75,"1968年","木造","","","","","","１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",10,14000000,"",110,"","","",95,"1999年","木造","","","","","","１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","魚住町","魚住",15,28000000,"",105,"","","",105,"2024年","木造","","","南西","公道",7.4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町高丘","大久保(兵庫)","",35000000,"",125,"","","",100,"2024年","木造","","","西","公道",6,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町高丘","大久保(兵庫)","",39000000,"",125,"","","",100,"2024年","木造","","","西","公道",6,"１低住専",50,100,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28203","兵庫県","明石市","大久保町山手台","大久保(兵庫)","",36000000,"",110,"","","",95,"2024年","木造","","","","公道","","１低住専",50,100,"2025年第1四半期",""
