"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","西条山手","神野",20,11000000,"",200,"","","",150,"1990年","木造","","","","",5.6,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","浜の宮",20,8700000,"",135,"","","",100,"1983年","木造","","","","",5.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川",25,4500000,"",80,"","","",80,"1984年","木造","","","","",4,"２種住居",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,1900000,"",105,"","","",85,"1992年","木造","","","","","","準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","別府(兵庫)",20,2300000,"",95,"","","",85,"1976年","木造","","","北西","公道",6.3,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",20,5500000,"",100,"","","",85,"1985年","木造","","","南東","公道",4.3,"準工業",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","浜の宮",25,13000000,"",140,"","","",95,"1999年","木造","","","東","公道",5.3,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川",25,9000000,"",190,"","","",105,"1986年","木造","","","","",4.2,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,9900000,"",175,"","","",120,"1986年","木造","","","北","公道",4.2,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","加古川","30分～60分",28000000,"",170,"","","",115,"2010年","軽量鉄骨造","","","","",6,"１種住居",60,200,"2024年第4四半期",""
