"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","梅井","山陽曽根",15,7800000,"",120,"","","",85,"1978年","軽量鉄骨造","","","東","公道",6.3,"１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","北浜町","大塩",10,30000000,"",155,"","","",95,"2024年","木造","","","西","",5,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","曽根町","山陽曽根",15,29000000,"",130,"","","",120,"2020年","木造","","","","公道",5,"１低住専",50,100,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","荒井町小松原","","",3500000,"",85,"","","",80,"1977年","","","","西","公道",4,"２低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","荒井町中新町","荒井(兵庫)",10,38000000,"",245,"","","",135,"2009年","軽量鉄骨造","","","南西","公道",5.7,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","荒井町東本町","荒井(兵庫)",10,24000000,"",220,"","","",280,"1980年","鉄骨造","","","","公道","","１種住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","伊保崎","伊保",15,21000000,"",140,"","","",95,"2024年","木造","","","西","公道",7,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","中筋","曽根(兵庫)",15,5500000,"",130,"","","",90,"1977年","木造","","","","",5,"１中住専",70,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",20,18000000,"",95,"","","",90,"2015年","木造","","","","",4,"１中住専",60,160,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","米田町","宝殿",15,22000000,"",130,"","","",105,"2018年","木造","","","","",10.2,"２低住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","宝殿","30分～60分",20000000,"",150,"","","",100,"2024年","木造","","","東","公道",4,"１中住専",60,150,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","中島","伊保",20,5600000,"",110,"","","",90,"1989年","木造","","","","",4.8,"１中住専",60,200,"2024年第4四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","西畑","高砂(兵庫)",20,9800000,"",125,"","","",120,"1983年","軽量鉄骨造","","","南西","公道",4.9,"２低住専",60,150,"2024年第4四半期",""
