"種類","価格情報区分","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","間取り","面積（㎡）","建築年","建物の構造","用途","今後の利用目的","都市計画","建ぺい率（％）","容積率（％）","取引時期","改装","取引の事情等"
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","高砂町浜田町","高砂(兵庫)",1,18000000,"３ＬＤＫ",75,"2008年","ＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","高砂町朝日町","","",25000000,"４ＬＤＫ",80,"2011年","ＳＲＣ","","","近隣商業","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","米田町","宝殿",19,8000000,"３ＬＤＫ",75,"1989年","ＲＣ","","","","","","2024年第4四半期","",""
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","米田町","宝殿",19,6700000,"３ＬＤＫ",60,"1989年","ＲＣ","","","１中住専","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","米田町","宝殿",19,7000000,"３ＬＤＫ",60,"1989年","ＳＲＣ","","","","","","2025年第1四半期","",""
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","高砂町朝日町","高砂(兵庫)",2,4000000,"１ＬＤＫ",45,"1985年","ＲＣ","","","近隣商業","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","米田町","宝殿",19,9500000,"３ＬＤＫ",65,"1989年","ＳＲＣ","","","１中住専","","","2025年第2四半期","",""
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","中筋","曽根(兵庫)",20,9400000,"３ＬＤＫ",70,"1994年","ＲＣ","","","２種住居","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","米田町","宝殿",11,6800000,"３ＬＤＫ",70,"1991年","ＲＣ","","","１中住専","","","2025年第3四半期","",""
"中古マンション等","成約価格情報","28216","兵庫県","高砂市","阿弥陀","曽根(兵庫)",1,12000000,"４ＬＤＫ",80,"2001年","ＲＣ","","","２種住居","","","2025年第1四半期","",""
