市,取引価格（万円）,種別,価格区分,建築年,延床面積（㎡）,面積（㎡）,地区名,取引時期
高砂市,780.0,戸建て,成約価格情報,1978年,85.0,120.0,梅井,2024年第4四半期
高砂市,3000.0,戸建て,成約価格情報,2024年,95.0,155.0,北浜町,2024年第4四半期
高砂市,2900.0,戸建て,成約価格情報,2020年,120.0,130.0,曽根町,2024年第4四半期
高砂市,350.0,戸建て,成約価格情報,1977年,80.0,85.0,荒井町小松原,2024年第4四半期
高砂市,3800.0,戸建て,成約価格情報,2009年,135.0,245.0,荒井町中新町,2024年第4四半期
高砂市,2400.0,戸建て,成約価格情報,1980年,280.0,220.0,荒井町東本町,2024年第4四半期
高砂市,2100.0,戸建て,成約価格情報,2024年,95.0,140.0,伊保崎,2024年第4四半期
高砂市,550.0,戸建て,成約価格情報,1977年,90.0,130.0,中筋,2024年第4四半期
高砂市,1800.0,戸建て,成約価格情報,2015年,90.0,95.0,米田町,2024年第4四半期
高砂市,2200.0,戸建て,成約価格情報,2018年,105.0,130.0,米田町,2024年第4四半期
高砂市,2000.0,戸建て,成約価格情報,2024年,100.0,150.0,阿弥陀町,2024年第4四半期
高砂市,560.0,戸建て,成約価格情報,1989年,90.0,110.0,中島,2024年第4四半期
高砂市,980.0,戸建て,成約価格情報,1983年,120.0,125.0,西畑,2024年第4四半期
高砂市,1100.0,戸建て,成約価格情報,1983年,115.0,140.0,春日野町,2025年第1四半期
高砂市,2600.0,戸建て,成約価格情報,2012年,110.0,160.0,高砂町浜田町,2025年第2四半期
高砂市,3200.0,戸建て,成約価格情報,2024年,100.0,135.0,今市,2025年第1四半期
高砂市,2200.0,戸建て,成約価格情報,2015年,105.0,145.0,梅井,2025年第1四半期
高砂市,1300.0,戸建て,成約価格情報,1988年,95.0,125.0,梅井,2025年第1四半期
高砂市,2700.0,戸建て,成約価格情報,2024年,95.0,155.0,北浜町,2025年第1四半期
高砂市,1400.0,戸建て,成約価格情報,2011年,100.0,155.0,曽根町,2025年第1四半期
高砂市,450.0,戸建て,成約価格情報,1984年,150.0,205.0,曽根町,2025年第1四半期
高砂市,1500.0,戸建て,成約価格情報,1981年,120.0,130.0,曽根町,2025年第1四半期
高砂市,950.0,戸建て,成約価格情報,1995年,85.0,110.0,今市,2025年第2四半期
高砂市,420.0,戸建て,成約価格情報,1980年,90.0,150.0,北浜町,2025年第2四半期
高砂市,980.0,戸建て,成約価格情報,1979年,255.0,210.0,北浜町,2025年第2四半期
高砂市,220.0,戸建て,成約価格情報,1972年,60.0,70.0,時光寺町,2025年第2四半期
高砂市,3100.0,戸建て,成約価格情報,2010年,135.0,365.0,曽根町,2025年第2四半期
高砂市,130.0,戸建て,成約価格情報,1973年,60.0,65.0,曽根町,2025年第2四半期
高砂市,200.0,戸建て,成約価格情報,1983年,70.0,55.0,高砂町木曽町,2025年第2四半期
高砂市,630.0,戸建て,成約価格情報,1994年,95.0,130.0,竜山,2025年第2四半期
高砂市,200.0,戸建て,成約価格情報,1960年,135.0,260.0,荒井町南栄町,2025年第3四半期
高砂市,320.0,戸建て,成約価格情報,1973年,55.0,65.0,時光寺町,2025年第3四半期
高砂市,390.0,戸建て,成約価格情報,1972年,115.0,105.0,曽根町,2025年第3四半期
高砂市,1000.0,戸建て,成約価格情報,1972年,150.0,270.0,竜山,2025年第3四半期
高砂市,600.0,戸建て,成約価格情報,1992年,115.0,140.0,竜山,2025年第3四半期
高砂市,180.0,戸建て,成約価格情報,1977年,80.0,85.0,荒井町小松原,2025年第1四半期
高砂市,1800.0,戸建て,成約価格情報,1987年,130.0,210.0,伊保崎,2025年第1四半期
高砂市,2000.0,戸建て,成約価格情報,2024年,100.0,110.0,中筋,2025年第1四半期
高砂市,1200.0,戸建て,成約価格情報,1981年,150.0,265.0,中筋,2025年第1四半期
高砂市,2800.0,戸建て,成約価格情報,2019年,110.0,165.0,米田町,2025年第1四半期
高砂市,2100.0,戸建て,成約価格情報,2011年,115.0,265.0,伊保崎,2025年第2四半期
高砂市,2500.0,戸建て,成約価格情報,2025年,105.0,125.0,伊保崎,2025年第2四半期
高砂市,2200.0,戸建て,成約価格情報,2024年,105.0,120.0,米田町,2025年第2四半期
高砂市,1300.0,戸建て,成約価格情報,1999年,85.0,105.0,米田町,2025年第2四半期
高砂市,310.0,戸建て,成約価格情報,1975年,70.0,95.0,米田町,2025年第2四半期
高砂市,1600.0,戸建て,成約価格情報,2010年,110.0,160.0,米田町,2025年第2四半期
高砂市,2200.0,戸建て,成約価格情報,2008年,120.0,135.0,米田町,2025年第2四半期
高砂市,1500.0,戸建て,成約価格情報,2008年,95.0,125.0,米田町,2025年第2四半期
高砂市,300.0,戸建て,成約価格情報,1981年,70.0,50.0,荒井町千鳥,2025年第3四半期
高砂市,3300.0,戸建て,成約価格情報,2025年,95.0,260.0,高砂町鍵町,2025年第3四半期
高砂市,830.0,戸建て,成約価格情報,1977年,90.0,130.0,中筋,2025年第3四半期
高砂市,750.0,戸建て,成約価格情報,1977年,100.0,120.0,米田町,2025年第3四半期
高砂市,170.0,戸建て,成約価格情報,戦前,200.0,190.0,米田町,2025年第3四半期
高砂市,400.0,戸建て,成約価格情報,1975年,65.0,95.0,米田町,2025年第3四半期
高砂市,350.0,戸建て,成約価格情報,1975年,60.0,90.0,米田町,2025年第3四半期
高砂市,3000.0,戸建て,成約価格情報,2014年,225.0,370.0,米田町,2025年第3四半期
高砂市,1400.0,戸建て,成約価格情報,1997年,100.0,100.0,米田町,2025年第3四半期
高砂市,990.0,戸建て,成約価格情報,1995年,105.0,125.0,米田町,2025年第3四半期
高砂市,300.0,戸建て,成約価格情報,1966年,90.0,100.0,阿弥陀,2025年第1四半期
高砂市,240.0,戸建て,成約価格情報,1971年,65.0,65.0,阿弥陀,2025年第1四半期
高砂市,1600.0,戸建て,成約価格情報,1975年,85.0,200.0,阿弥陀町,2025年第1四半期
高砂市,500.0,戸建て,成約価格情報,1980年,95.0,120.0,阿弥陀町,2025年第1四半期
高砂市,500.0,戸建て,成約価格情報,1976年,95.0,120.0,阿弥陀町,2025年第2四半期
高砂市,2200.0,戸建て,成約価格情報,2025年,100.0,100.0,阿弥陀町,2025年第2四半期
高砂市,3100.0,戸建て,成約価格情報,2020年,140.0,170.0,阿弥陀町,2025年第2四半期
高砂市,670.0,戸建て,成約価格情報,1983年,90.0,100.0,阿弥陀町,2025年第2四半期
高砂市,960.0,戸建て,成約価格情報,1987年,90.0,120.0,阿弥陀町,2025年第2四半期
高砂市,980.0,戸建て,成約価格情報,1988年,100.0,330.0,阿弥陀町,2025年第2四半期
高砂市,530.0,戸建て,成約価格情報,1985年,110.0,135.0,阿弥陀町,2025年第2四半期
高砂市,1700.0,戸建て,成約価格情報,2012年,95.0,165.0,阿弥陀町,2025年第2四半期
高砂市,1200.0,戸建て,成約価格情報,1988年,160.0,250.0,伊保東,2025年第2四半期
高砂市,400.0,戸建て,成約価格情報,1976年,65.0,130.0,中島,2025年第2四半期
高砂市,550.0,戸建て,成約価格情報,1970年,55.0,80.0,神爪,2025年第2四半期
高砂市,730.0,戸建て,成約価格情報,1982年,140.0,115.0,阿弥陀,2025年第3四半期
高砂市,2200.0,戸建て,成約価格情報,2009年,130.0,195.0,阿弥陀町,2025年第3四半期
高砂市,780.0,戸建て,成約価格情報,1984年,85.0,135.0,阿弥陀町,2025年第3四半期
高砂市,1200.0,戸建て,成約価格情報,1991年,165.0,170.0,阿弥陀町,2025年第3四半期
高砂市,1700.0,戸建て,成約価格情報,2012年,95.0,165.0,阿弥陀町,2025年第3四半期
高砂市,680.0,戸建て,成約価格情報,1984年,95.0,120.0,中島,2025年第3四半期
