市,種別,価格（万円）,間取り,専有面積（㎡）,土地面積（㎡）,建物面積（㎡）,築年月,交通,所在地,物件名,URL
高砂市,マンション,690.0,2LDK+S（納戸）,68.58,,,1992年1月,山陽電鉄本線「高砂」徒歩4分,兵庫県高砂市高砂町朝日町１,ベル・フィオーレ高砂朝日町　　☆令和8年1月リフォー…,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_20054855/
高砂市,マンション,820.0,3DK,60.88,,,1988年12月,ＪＲ山陽本線「宝殿」徒歩6分,兵庫県高砂市神爪２,プレステージ宝殿,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_79008357/
高砂市,マンション,850.0,3LDK,68.41,,,1988年12月,ＪＲ山陽本線「宝殿」徒歩6分,兵庫県高砂市神爪２,プレステージ宝殿,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_77687087/
高砂市,マンション,650.0,2LDK,55.42,,,1991年3月,ＪＲ山陽本線「宝殿」徒歩12分,兵庫県高砂市米田町米田,ネオハイツ高砂　　JR「宝殿駅」徒歩12分,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_20130046/
高砂市,マンション,780.0,3LDK,72.69,,,1976年2月,山陽電鉄本線「高砂」徒歩3分,兵庫県高砂市高砂町栄町,高砂ハイツ　山陽電鉄「高砂駅」徒歩3分,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_79228578/
高砂市,マンション,998.0,3LDK,62.24,,,1989年7月,ＪＲ山陽本線「宝殿」徒歩16分,兵庫県高砂市米田町米田,高砂アーバンコンフォート,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_78999619/
高砂市,マンション,1190.0,1LDK,59.52,,,1989年7月,ＪＲ山陽本線「宝殿」徒歩18分,兵庫県高砂市米田町米田,【高砂アーバンコンフォート】　大規模リフォーム済み　…,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_78777781/
高砂市,マンション,2680.0,4LDK,83.3,,,2013年8月,山陽電鉄本線「高砂」徒歩2分,兵庫県高砂市高砂町朝日町２,デュオプレステージ高砂駅前スカイテラス　83.3㎡　…,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_78720005/
高砂市,マンション,2680.0,4LDK,83.3,,,2013年8月,山陽電鉄本線「高砂」徒歩2分,兵庫県高砂市高砂町朝日町２,デュオプレステージ高砂駅前スカイテラス,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_20181824/
高砂市,マンション,2680.0,4LDK,83.3,,,2013年8月,山陽電鉄本線「高砂」徒歩2分,兵庫県高砂市高砂町朝日町２,デュオプレステージ高砂駅前スカイテラス,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_78723697/
高砂市,マンション,2680.0,4LDK,83.3,,,2013年8月,山陽電鉄本線「高砂」徒歩3分,兵庫県高砂市高砂町朝日町２,デュオプレステージ高砂駅前スカイテラス,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_78782396/
高砂市,マンション,2680.0,4LDK,83.3,,,2013年8月,山陽電鉄本線「高砂」徒歩2分,兵庫県高砂市高砂町朝日町２,デュオプレステージ高砂駅前スカイテラス,https://suumo.jp/ms/chuko/hyogo/sc_takasago/nc_20220298/
高砂市,戸建て,2490.0,5LDK+S（納戸）,,150.0,130.0,2004年2月,山陽電鉄本線「伊保」徒歩9分,兵庫県高砂市梅井１,高砂市梅井一丁目,https://suumo.jp/chukoikkodate/hyogo/sc_takasago/nc_20068844/
高砂市,戸建て,399.0,4DK,,111.8,70.74,1978年11月,ＪＲ山陽本線「宝殿」徒歩15分,兵庫県高砂市米田町塩市,,https://suumo.jp/chukoikkodate/hyogo/sc_takasago/nc_78744032/
高砂市,戸建て,690.0,4DK,,122.97,81.14,1981年10月,ＪＲ山陽本線「曽根」徒歩15分,兵庫県高砂市曽根町,,https://suumo.jp/chukoikkodate/hyogo/sc_takasago/nc_20094911/
高砂市,戸建て,1080.0,4LDK,,101.19,89.55,1997年5月,ＪＲ山陽本線「曽根」徒歩14分,兵庫県高砂市阿弥陀町阿弥陀,,https://suumo.jp/chukoikkodate/hyogo/sc_takasago/nc_78627051/
高砂市,戸建て,1280.0,3LDK,,132.33,103.92,1985年5月,山陽電鉄本線「荒井」徒歩18分,兵庫県高砂市荒井町小松原４,,https://suumo.jp/chukoikkodate/hyogo/sc_takasago/nc_79135114/
